TIMESTAMP	NUMTWEETS
1350970200	7130
1350970500	7271
1350970800	7194
1350971100	6852
1350971400	6821
1350971700	6665
1350972000	6996
1350972300	6689
1350972600	6828
1350972900	6512
1350973200	6537
1350973500	6313
1350973800	6234
1350974100	6212
1350974400	6059
1350974700	6096
1350975000	6115
1350975300	5939
1350975600	6799
1350975900	6172
1350976200	6058
1350976500	6045
1350976800	6074
1350977100	6223
1350977400	6266
1350977700	6179
1350978000	6027
1350978300	6179
1350978600	5964
1350978900	6073
1350979200	6342
1350979500	6162
1350979800	6265
1350980100	6270
1350980400	6564
1350980700	6586
1350981000	6579
1350981300	6472
1350981600	6498
1350981900	6375
1350982200	6523
1350982500	6698
1350982800	7120
1350983100	6863
1350983400	6806
1350983700	6881
1350984000	7082
1350984300	7229
1350984600	7200
1350984900	7452
1350985200	6990
1350985500	7195
1350985800	7350
1350986100	7405
1350986400	8222
1350986700	7446
1350987000	7602
1350987300	7569
1350987600	7859
1350987900	7907
1350988200	8531
1350988500	8675
1350988800	8569
1350989100	8537
1350989400	8720
1350989700	8837
1350990000	9596
1350990300	9104
1350990600	9132
1350990900	9594
1350991200	9738
1350991500	9650
1350991800	10435
1350992100	10372
1350992400	10102
1350992700	10292
1350993000	10534
1350993300	10751
1350993600	11342
1350993900	10743
1350994200	11052
1350994500	11044
1350994800	11348
1350995100	11181
1350995400	11966
1350995700	11611
1350996000	11749
1350996300	11986
1350996600	12138
1350996900	11972
1350997200	12819
1350997500	12329
1350997800	12336
1350998100	12387
1350998400	12472
1350998700	12548
1350999000	12898
1350999300	13004
1350999600	12918
1350999900	13046
1351000200	12992
1351000500	13126
1351000800	13810
1351001100	13262
1351001400	13440
1351001700	13173
1351002000	13159
1351002300	13420
1351002600	13396
1351002900	13381
1351003200	13350
1351003500	13372
1351003800	13319
1351004100	13263
1351004400	14272
1351004700	13247
1351005000	13223
1351005300	13248
1351005600	13120
1351005900	12981
1351006200	12624
1351006500	12735
1351006800	12757
1351007100	12346
1351007400	12391
1351007700	12164
1351008000	12447
1351008300	11720
1351008600	11722
1351008900	11743
1351009200	11378
1351009500	11680
1351009800	11700
1351010100	11355
1351010400	11213
1351010700	11099
1351011000	10854
1351011300	10883
1351011600	11287
1351011900	10803
1351012200	10730
1351012500	10640
1351012800	10744
1351013100	10798
1351013400	10727
1351013700	10546
1351014000	10712
1351014300	10417
1351014600	10632
1351014900	10519
1351015200	10947
1351015500	10269
1351015800	10498
1351016100	10317
1351016400	10321
1351016700	10309
1351017000	10281
1351017300	10260
1351017600	10285
1351017900	10475
1351018200	10208
1351018500	10339
1351018800	11351
1351019100	11489
1351019400	10811
1351019700	10761
1351020000	11005
1351020300	10752
1351020600	11757
1351020900	11033
1351021200	10887
1351021500	10804
1351021800	11028
1351022100	11151
1351022400	11386
1351022700	11207
1351023000	11393
1351023300	11906
1351023600	11964
1351023900	11500
1351024200	11710
1351024500	13240
1351024800	12156
1351025100	11736
1351025400	11724
1351025700	11615
1351026000	12378
1351026300	11618
1351026600	11666
1351026900	11631
1351027200	11705
1351027500	11329
1351027800	11444
1351028100	11680
1351028400	11429
1351028700	11305
1351029000	11161
1351029300	11374
1351029600	12061
1351029900	11614
1351030200	11617
1351030500	11498
1351030800	11694
1351031100	11564
1351031400	11515
1351031700	11558
1351032000	11567
1351032300	11650
1351032600	11760
1351032900	11729
1351033200	12210
1351033500	11700
1351033800	11746
1351034100	11491
1351034400	11748
1351034700	11605
1351035000	11859
1351035300	11704
1351035600	11492
1351035900	11766
1351036200	11653
1351036500	12071
1351036800	12737
1351037100	12077
1351037400	11886
1351037700	11911
1351038000	12073
1351038300	12386
1351038600	11951
1351038900	12098
1351039200	12868
1351039500	12219
1351039800	12357
1351040100	12416
1351040400	13715
1351040700	12625
1351041000	12353
1351041300	12226
1351041600	12481
1351041900	12291
1351042200	12425
1351042500	12451
1351042800	12408
1351043100	12491
1351043400	12214
1351043700	12729
1351044000	12996
1351044300	12326
1351044600	12269
1351044900	12209
1351045200	12253
1351045500	12506
1351045800	12294
1351046100	12227
1351046400	12134
1351046700	11857
1351047000	11655
1351047300	11712
1351047600	12396
1351047900	11686
1351048200	11517
1351048500	11381
1351048800	11268
